Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/LagrangeMultiplier/Min,Metrics/LagrangeMultiplier/Max,Metrics/LagrangeMultiplier/Std
0.7294885516166687,147.85000610351562,1000.0,0.0,1.4164518117904663,0.011473271064460278,40.0,1.0008139610290527,1.0008139610290527,1.0008139610290527,0.017893942072987556,0.00029940000968053937,0.9975206851959229,20000.0,-0.009444824419915676,-0.009444824419915676,-0.05568914860486984,0.005660097114741802,0.005660097114741802,-0.09690520167350769,4.567878246307373,4.567878246307373,0.02392580546438694,180.83761596679688,56.64535140991211,124.19194793701172,180.83738708496094,110.59660339355469,0.035999998450279236,0.035999998450279236,0.035999998450279236,0.0
0.9188133478164673,160.5749969482422,1000.0,1.0,1.3964743614196777,0.013124499469995499,40.0,0.9978697299957275,0.9978697299957275,0.9978697299957275,0.019127311185002327,0.00029880000511184335,0.9778347015380859,40000.0,-0.013895000331103802,-0.004450175911188126,-0.03482762724161148,0.004888865631073713,-0.0007712314836680889,-0.06623002886772156,2.9693989753723145,-1.5984792709350586,2.350635051727295,367.2496337890625,62.511512756347656,123.87389373779297,186.38548278808594,107.30448913574219,0.07104738056659698,0.07104738056659698,0.07104738056659698,0.0
1.6568481922149658,158.1999969482422,1000.0,2.0,1.3769830465316772,0.02047278732061386,39.0,0.9990158081054688,0.9990158081054688,0.9990158081054688,0.01937052235007286,0.0002982000005431473,0.958993673324585,60000.0,-0.01815822906792164,-0.004263228736817837,-0.164750337600708,0.007092285435646772,0.002203419804573059,-0.008978541940450668,3.131220579147339,0.16182160377502441,4.205924034118652,556.787109375,66.38484191894531,123.1240005493164,189.5089111328125,105.53593444824219,0.1061098724603653,0.1061098724603653,0.1061098724603653,0.0
2.8375744819641113,184.02000427246094,1000.0,3.0,1.3550735712051392,0.019863151013851166,40.0,0.9990642070770264,0.9990642070770264,0.9990642070770264,0.019311556592583656,0.0002975999959744513,0.9382647275924683,80000.0,-0.023798203095793724,-0.005639974027872086,-0.036530978977680206,0.01110805943608284,0.004015774000436068,0.04089630767703056,3.322375774383545,0.19115519523620605,6.303057670593262,733.5803833007812,51.848575592041016,124.91292572021484,176.76156616210938,113.14676666259766,0.14130336046218872,0.14130336046218872,0.14130336046218872,0.0
4.201135158538818,197.86000061035156,1000.0,4.0,1.341050148010254,0.02042134292423725,36.0,1.0025461912155151,1.0025461912155151,1.0025461912155151,0.020243901759386063,0.0002969999914057553,0.9252074360847473,100000.0,-0.03076688013970852,-0.006968677043914795,-0.0035155639052391052,0.011983174830675125,0.0008751153945922852,0.10138126462697983,4.217739105224609,0.8953633308410645,8.036882400512695,897.1046752929688,51.75361633300781,111.73778533935547,163.49147033691406,122.3305435180664,0.1766473650932312,0.1766473650932312,0.1766473650932312,0.0
5.489994049072266,180.1199951171875,1000.0,5.0,1.322447657585144,0.020188400521874428,28.0,0.9995295405387878,0.9995295405387878,0.9995295405387878,0.019813042134046555,0.00029639998683705926,0.9081913828849792,120000.0,-0.026527678593993187,0.004239201545715332,-0.07152341306209564,0.014270376414060593,0.0022872015833854675,0.19317428767681122,3.494180917739868,-0.7235581874847412,9.93691349029541,1035.775146484375,52.29540252685547,86.34002685546875,138.63548278808594,144.26321411132812,0.21200701594352722,0.21200701594352722,0.21200701594352722,0.0
7.225878715515137,168.36000061035156,1000.0,6.0,1.2959344387054443,0.020633768290281296,26.0,1.0011096000671387,1.0011096000671387,1.0011096000671387,0.019844917580485344,0.0002958000113721937,0.8844194412231445,140000.0,-0.03440225496888161,-0.00787457637488842,0.12214701622724533,0.017787229269742966,0.003516852855682373,0.3332143723964691,4.439433574676514,0.9452526569366455,10.843300819396973,1167.0299072265625,50.782745361328125,80.44158935546875,131.22439575195312,152.4106903076172,0.2472497820854187,0.2472497820854187,0.2472497820854187,0.0
8.805588722229004,156.36000061035156,1000.0,7.0,1.2784414291381836,0.0203518345952034,24.0,0.9998710751533508,0.9998710751533508,0.9998710751533508,0.02013544924557209,0.00029520000680349767,0.8691505789756775,160000.0,-0.0330275259912014,0.0013747289776802063,0.10977409780025482,0.01695891283452511,-0.0008283164352178574,0.4324584901332855,4.4778971672058105,0.038463592529296875,12.444926261901855,1292.4134521484375,51.138309478759766,74.21271514892578,125.35108184814453,159.5518798828125,0.2822425365447998,0.2822425365447998,0.2822425365447998,0.0
10.160019874572754,154.4600067138672,1000.0,8.0,1.259827971458435,0.02022927813231945,22.0,1.000299096107483,1.000299096107483,1.000299096107483,0.020227132365107536,0.00029460000223480165,0.8531006574630737,180000.0,-0.03349124267697334,-0.00046371668577194214,0.018434591591358185,0.017676834017038345,0.000717921182513237,0.5017517805099487,4.465919494628906,-0.011977672576904297,13.499726295471191,1412.0128173828125,51.381629943847656,68.17376708984375,119.55542755126953,167.2864227294922,0.31701943278312683,0.31701943278312683,0.31701943278312683,0.0
10.649447441101074,181.44000244140625,1000.0,9.0,1.2480359077453613,0.020010991021990776,19.0,1.0014368295669556,1.0014368295669556,1.0014368295669556,0.01968044601380825,0.00029399999766610563,0.8430986404418945,200000.0,-0.03768324851989746,-0.004192005842924118,0.07031311094760895,0.0188126377761364,0.001135803759098053,0.582474946975708,5.450758457183838,0.9848389625549316,13.156991004943848,1521.936767578125,50.93311309814453,58.96088409423828,109.89402770996094,181.99349975585938,0.3519871234893799,0.3519871234893799,0.3519871234893799,0.0
